Header:
MFRSR SPECTRAL RESPONSE TEST:

Instrument Data:
Serial_number	Vis469
Instrument_rev	Yes_Mk1
Owner	DOE-ARM

Test_Conditions_Data:
Testing_agency	DOE-ARM_SRMS
Test_System_rev	D
Test_date	5/25/2016
Test_day	146	[Day_of_year]
Test_conductor	Craig Webb
Source_Type	175 watt Xenon_ARC
Monochromator_slit	85	microns
Wavelength_registration_line	361.1652	[nm]
Wavelength_registration_position	431533	[steps]

Comment:	From Japan/Mike Reynolds

Channel	Wavelength	Signal	
900	422.5	-5.522194E-05	4.555953E-06
900	422.75	-5.636878E-05	5.307149E-06
900	423	-6.013186E-05	4.46791E-06
900	423.25	-5.457682E-05	4.945934E-06
900	423.5	-6.163709E-05	3.731488E-06
900	423.75	-5.321496E-05	5.678181E-06
900	424	-5.253402E-05	3.480102E-06
900	424.25	-5.515023E-05	4.165673E-06
900	424.5	-5.532943E-05	6.756104E-06
900	424.75	-5.278488E-05	4.488242E-06
900	425	-5.891332E-05	3.996401E-06
900	425.25	-5.826821E-05	4.563776E-06
900	425.5	-5.446928E-05	4.188716E-06
900	425.75	-6.267638E-05	5.697911E-06
900	426	-5.572364E-05	4.912303E-06
900	426.25	-6.267636E-05	3.584042E-06
900	426.5	-5.658376E-05	3.432408E-06
900	426.75	-5.077787E-05	4.420719E-06
900	427	-5.0527E-05	4.498482E-06
900	427.25	-5.364497E-05	4.615499E-06
900	427.5	-5.464845E-05	4.650369E-06
900	427.75	-4.687142E-05	4.406895E-06
900	428	-5.260563E-05	4.126394E-06
900	428.25	-5.375245E-05	3.752421E-06
900	428.5	-5.303568E-05	5.095415E-06
900	428.75	-5.715713E-05	5.767337E-06
900	429	-5.898493E-05	4.894633E-06
900	429.25	-5.500681E-05	4.0151E-06
900	429.5	-6.328554E-05	5.163549E-06
900	429.75	-5.615362E-05	4.62152E-06
900	430	-5.44692E-05	5.59182E-06
900	430.25	-4.672801E-05	3.452262E-06
900	430.5	-5.737213E-05	4.412506E-06
900	430.75	-5.314315E-05	4.063414E-06
900	431	-5.396742E-05	5.286956E-06
900	431.25	-4.823323E-05	4.819512E-06
900	431.5	-5.299977E-05	5.273794E-06
900	431.75	-5.690619E-05	4.529473E-06
900	432	-5.966578E-05	4.8156E-06
900	432.25	-6.296294E-05	6.131489E-06
900	432.5	-5.464833E-05	5.585724E-06
900	432.75	-4.092209E-05	4.739425E-06
900	433	-4.984593E-05	4.05798E-06
900	433.25	-6.020332E-05	5.456087E-06
900	433.5	-4.66921E-05	3.474529E-06
900	433.75	-5.830385E-05	7.156757E-06
900	434	-5.414656E-05	2.64703E-06
900	434.25	-5.558011E-05	5.07361E-06
900	434.5	-5.586681E-05	4.849806E-06
900	434.75	-5.683445E-05	5.321805E-06
900	435	-5.844718E-05	4.322392E-06
900	480	-3.870005E-05	3.806709E-06
900	480.25	-4.214056E-05	4.434742E-06
900	480.5	-5.310718E-05	5.17396E-06
900	480.75	-3.791158E-05	3.633286E-06
900	481	-4.167464E-05	3.989917E-06
